timestamp,pod,cpu_usage(m),memory_usage(Mi)
2023-11-22 03:34:43,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:43,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:43,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:43,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:43,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:43,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:43,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:43,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:43,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:43,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:43,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:43,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:44,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:44,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:44,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:44,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:44,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:44,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:44,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:44,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:44,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:44,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:44,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:44,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:44,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:44,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:45,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:45,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:45,catalogue-7c89c4b8b7-wqpl2,2,69
